czas:	0.0002
#promien     #dlugosc     #T
0    0.00065    37
5e-005    0.00065    37
0.0001    0.00065    37
0.00015    0.00065    37
0.0002    0.00065    37
0.00025    0.00065    37
0.0003    0.00065    37
0.00035    0.00065    37
0.0004    0.00065    37
0.00045    0.00065    37
0.0005    0.00065    37
0.00055    0.00065    37
0.0006    0.00065    37
0.00065    0.00065    37
0.0007    0.00065    37
0.00075    0.00065    37
0.0008    0.00065    37
0.00085    0.00065    37
0.0009    0.00065    37
0.00095    0.00065    37
0.001    0.00065    37

0    0.0007    37
5e-005    0.0007    37
0.0001    0.0007    37
0.00015    0.0007    37
0.0002    0.0007    37
0.00025    0.0007    37
0.0003    0.0007    37
0.00035    0.0007    37
0.0004    0.0007    37
0.00045    0.0007    37
0.0005    0.0007    37
0.00055    0.0007    37
0.0006    0.0007    37
0.00065    0.0007    37
0.0007    0.0007    37
0.00075    0.0007    37
0.0008    0.0007    37
0.00085    0.0007    37
0.0009    0.0007    37
0.00095    0.0007    37
0.001    0.0007    37

0    0.00075    37
5e-005    0.00075    37
0.0001    0.00075    37
0.00015    0.00075    37
0.0002    0.00075    37
0.00025    0.00075    37
0.0003    0.00075    37
0.00035    0.00075    37
0.0004    0.00075    37
0.00045    0.00075    37
0.0005    0.00075    37
0.00055    0.00075    37
0.0006    0.00075    37
0.00065    0.00075    37
0.0007    0.00075    37
0.00075    0.00075    37
0.0008    0.00075    37
0.00085    0.00075    37
0.0009    0.00075    37
0.00095    0.00075    37
0.001    0.00075    37

0    0.0008    37
5e-005    0.0008    37
0.0001    0.0008    37
0.00015    0.0008    37
0.0002    0.0008    37
0.00025    0.0008    37
0.0003    0.0008    37
0.00035    0.0008    37
0.0004    0.0008    37
0.00045    0.0008    37
0.0005    0.0008    37
0.00055    0.0008    37
0.0006    0.0008    37
0.00065    0.0008    37
0.0007    0.0008    37
0.00075    0.0008    37
0.0008    0.0008    37
0.00085    0.0008    37
0.0009    0.0008    37
0.00095    0.0008    37
0.001    0.0008    37

0    0.00085    37
5e-005    0.00085    37
0.0001    0.00085    37
0.00015    0.00085    37
0.0002    0.00085    37
0.00025    0.00085    37
0.0003    0.00085    37
0.00035    0.00085    37
0.0004    0.00085    37
0.00045    0.00085    37
0.0005    0.00085    37
0.00055    0.00085    37
0.0006    0.00085    37
0.00065    0.00085    37
0.0007    0.00085    37
0.00075    0.00085    37
0.0008    0.00085    37
0.00085    0.00085    37
0.0009    0.00085    37
0.00095    0.00085    37
0.001    0.00085    37

0    0.0009    37
5e-005    0.0009    37
0.0001    0.0009    37
0.00015    0.0009    37
0.0002    0.0009    37
0.00025    0.0009    37
0.0003    0.0009    37
0.00035    0.0009    37
0.0004    0.0009    37
0.00045    0.0009    37
0.0005    0.0009    37
0.00055    0.0009    37
0.0006    0.0009    37
0.00065    0.0009    37
0.0007    0.0009    37
0.00075    0.0009    37
0.0008    0.0009    37
0.00085    0.0009    37
0.0009    0.0009    37
0.00095    0.0009    37
0.001    0.0009    37

0    0.00095    37
5e-005    0.00095    37
0.0001    0.00095    37
0.00015    0.00095    37
0.0002    0.00095    37
0.00025    0.00095    37
0.0003    0.00095    37
0.00035    0.00095    37
0.0004    0.00095    37
0.00045    0.00095    37
0.0005    0.00095    37
0.00055    0.00095    37
0.0006    0.00095    37
0.00065    0.00095    37
0.0007    0.00095    37
0.00075    0.00095    37
0.0008    0.00095    37
0.00085    0.00095    37
0.0009    0.00095    37
0.00095    0.00095    37
0.001    0.00095    37

0    0.001    37
5e-005    0.001    37
0.0001    0.001    37
0.00015    0.001    37
0.0002    0.001    37
0.00025    0.001    37
0.0003    0.001    37
0.00035    0.001    37
0.0004    0.001    37
0.00045    0.001    37
0.0005    0.001    37
0.00055    0.001    37
0.0006    0.001    37
0.00065    0.001    37
0.0007    0.001    37
0.00075    0.001    37
0.0008    0.001    37
0.00085    0.001    37
0.0009    0.001    37
0.00095    0.001    37
0.001    0.001    37

