#promien     #dlugosc     #T
0.00014    5.6e-05    37.0139
0.000154    5.6e-05    37.0128
0.000168    5.6e-05    37.0119
0.000182    5.6e-05    37.011
0.000196    5.6e-05    37.0103
0.00021    5.6e-05    37.0096
0.000224    5.6e-05    37.0089
0.000238    5.6e-05    37.0084
0.000252    5.6e-05    37.0079
0.000266    5.6e-05    37.0074
0.00028    5.6e-05    37.007
0.000294    5.6e-05    37.0066
0.000308    5.6e-05    37.0063
0.000322    5.6e-05    37.006
0.000336    5.6e-05    37.0057
0.00035    5.6e-05    37.0054
0.000364    5.6e-05    37.0052
0.000378    5.6e-05    37.005
0.000392    5.6e-05    37.0048
0.000406    5.6e-05    37.0047
0.00042    5.6e-05    37.0045
0.000434    5.6e-05    37.0044
0.000448    5.6e-05    37.0043
0.000462    5.6e-05    37.0042
0.000476    5.6e-05    37.0041
0.00049    5.6e-05    37.004
0.000504    5.6e-05    37.004
0.000518    5.6e-05    37.004
0.000532    5.6e-05    37.0039
0.000546    5.6e-05    37.0039
0.00056    5.6e-05    37.0039

0    7e-05    37.0251
1.4e-05    7e-05    37.0251
2.8e-05    7e-05    37.0251
4.2e-05    7e-05    37.0251
5.6e-05    7e-05    37.0251
7e-05    7e-05    37.0223
8.4e-05    7e-05    37.02
9.8e-05    7e-05    37.0181
0.000112    7e-05    37.0165
0.000126    7e-05    37.0151
0.00014    7e-05    37.0139
0.000154    7e-05    37.0128
0.000168    7e-05    37.0118
0.000182    7e-05    37.011
0.000196    7e-05    37.0102
0.00021    7e-05    37.0095
0.000224    7e-05    37.0089
0.000238    7e-05    37.0083
0.000252    7e-05    37.0078
0.000266    7e-05    37.0074
0.00028    7e-05    37.007
0.000294    7e-05    37.0066
0.000308    7e-05    37.0062
0.000322    7e-05    37.0059
0.000336    7e-05    37.0057
0.00035    7e-05    37.0054
0.000364    7e-05    37.0052
0.000378    7e-05    37.005
0.000392    7e-05    37.0048
0.000406    7e-05    37.0046
0.00042    7e-05    37.0045
0.000434    7e-05    37.0044
0.000448    7e-05    37.0043
0.000462    7e-05    37.0042
0.000476    7e-05    37.0041
0.00049    7e-05    37.004
0.000504    7e-05    37.004
0.000518    7e-05    37.0039
0.000532    7e-05    37.0039
0.000546    7e-05    37.0039
0.00056    7e-05    37.0039

0    8.4e-05    37.025
1.4e-05    8.4e-05    37.025
2.8e-05    8.4e-05    37.025
4.2e-05    8.4e-05    37.025
5.6e-05    8.4e-05    37.025
7e-05    8.4e-05    37.0222
8.4e-05    8.4e-05    37.0199
9.8e-05    8.4e-05    37.018
0.000112    8.4e-05    37.0164
0.000126    8.4e-05    37.015
0.00014    8.4e-05    37.0138
0.000154    8.4e-05    37.0127
0.000168    8.4e-05    37.0118
0.000182    8.4e-05    37.0109
0.000196    8.4e-05    37.0101
0.00021    8.4e-05    37.0095
0.000224    8.4e-05    37.0088
0.000238    8.4e-05    37.0083
0.000252    8.4e-05    37.0078
0.000266    8.4e-05    37.0073
0.00028    8.4e-05    37.0069
0.000294    8.4e-05    37.0065
0.000308    8.4e-05    37.0062
0.000322    8.4e-05    37.0059
0.000336    8.4e-05    37.0056
0.00035    8.4e-05    37.0054
0.000364    8.4e-05    37.0051
0.000378    8.4e-05    37.0049
0.000392    8.4e-05    37.0048
0.000406    8.4e-05    37.0046
0.00042    8.4e-05    37.0045
0.000434    8.4e-05    37.0043
0.000448    8.4e-05    37.0042
0.000462    8.4e-05    37.0041
0.000476    8.4e-05    37.0041
0.00049    8.4e-05    37.004
0.000504    8.4e-05    37.004
0.000518    8.4e-05    37.0039
0.000532    8.4e-05    37.0039
0.000546    8.4e-05    37.0039
0.00056    8.4e-05    37.0039

0    9.8e-05    37.025
1.4e-05    9.8e-05    37.025
2.8e-05    9.8e-05    37.025
4.2e-05    9.8e-05    37.025
5.6e-05    9.8e-05    37.025
7e-05    9.8e-05    37.0222
8.4e-05    9.8e-05    37.0199
9.8e-05    9.8e-05    37.018
0.000112    9.8e-05    37.0163
0.000126    9.8e-05    37.0149
0.00014    9.8e-05    37.0137
0.000154    9.8e-05    37.0126
0.000168    9.8e-05    37.0117
0.000182    9.8e-05    37.0108
0.000196    9.8e-05    37.0101
0.00021    9.8e-05    37.0094
0.000224    9.8e-05    37.0088
0.000238    9.8e-05    37.0082
0.000252    9.8e-05    37.0077
0.000266    9.8e-05    37.0073
0.00028    9.8e-05    37.0069
0.000294    9.8e-05    37.0065
0.000308    9.8e-05    37.0062
0.000322    9.8e-05    37.0059
0.000336    9.8e-05    37.0056
0.00035    9.8e-05    37.0053
0.000364    9.8e-05    37.0051
0.000378    9.8e-05    37.0049
0.000392    9.8e-05    37.0047
0.000406    9.8e-05    37.0046
0.00042    9.8e-05    37.0044
0.000434    9.8e-05    37.0043
0.000448    9.8e-05    37.0042
0.000462    9.8e-05    37.0041
0.000476    9.8e-05    37.004
0.00049    9.8e-05    37.004
0.000504    9.8e-05    37.0039
0.000518    9.8e-05    37.0039
0.000532    9.8e-05    37.0039
0.000546    9.8e-05    37.0039
0.00056    9.8e-05    37.0039

0    0.000112    37.0249
1.4e-05    0.000112    37.0249
2.8e-05    0.000112    37.0249
4.2e-05    0.000112    37.0249
5.6e-05    0.000112    37.0249
7e-05    0.000112    37.0221
8.4e-05    0.000112    37.0198
9.8e-05    0.000112    37.0179
0.000112    0.000112    37.0163
0.000126    0.000112    37.0149
0.00014    0.000112    37.0136
0.000154    0.000112    37.0126
0.000168    0.000112    37.0116
0.000182    0.000112    37.0107
0.000196    0.000112    37.01
0.00021    0.000112    37.0093
0.000224    0.000112    37.0087
0.000238    0.000112    37.0082
0.000252    0.000112    37.0077
0.000266    0.000112    37.0072
0.00028    0.000112    37.0068
0.000294    0.000112    37.0064
0.000308    0.000112    37.0061
0.000322    0.000112    37.0058
0.000336    0.000112    37.0055
0.00035    0.000112    37.0053
0.000364    0.000112    37.0051
0.000378    0.000112    37.0049
0.000392    0.000112    37.0047
0.000406    0.000112    37.0045
0.00042    0.000112    37.0044
0.000434    0.000112    37.0043
0.000448    0.000112    37.0042
0.000462    0.000112    37.0041
0.000476    0.000112    37.004
0.00049    0.000112    37.0039
0.000504    0.000112    37.0039
0.000518    0.000112    37.0039
0.000532    0.000112    37.0038
0.000546    0.000112    37.0038
0.00056    0.000112    37.0038

0    0.000126    37.0249
1.4e-05    0.000126    37.0249
2.8e-05    0.000126    37.0249
4.2e-05    0.000126    37.0249
5.6e-05    0.000126    37.0249
7e-05    0.000126    37.022
8.4e-05    0.000126    37.0197
9.8e-05    0.000126    37.0178
0.000112    0.000126    37.0161
0.000126    0.000126    37.0147
0.00014    0.000126    37.0135
0.000154    0.000126    37.0124
0.000168    0.000126    37.0115
0.000182    0.000126    37.0106
0.000196    0.000126    37.0099
0.00021    0.000126    37.0092
0.000224    0.000126    37.0086
0.000238    0.000126    37.0081
0.000252    0.000126    37.0076
0.000266    0.000126    37.0071
0.00028    0.000126    37.0067
0.000294    0.000126    37.0064
0.000308    0.000126    37.006
0.000322    0.000126    37.0057
0.000336    0.000126    37.0055
0.00035    0.000126    37.0052
0.000364    0.000126    37.005
0.000378    0.000126    37.0048
0.000392    0.000126    37.0046
0.000406    0.000126    37.0045
0.00042    0.000126    37.0044
0.000434    0.000126    37.0042
0.000448    0.000126    37.0041
0.000462    0.000126    37.004
0.000476    0.000126    37.004
0.00049    0.000126    37.0039
0.000504    0.000126    37.0039
0.000518    0.000126    37.0038
0.000532    0.000126    37.0038
0.000546    0.000126    37.0038
0.00056    0.000126    37.0038

0    0.00014    37.0248
1.4e-05    0.00014    37.0248
2.8e-05    0.00014    37.0248
4.2e-05    0.00014    37.0248
5.6e-05    0.00014    37.0248
7e-05    0.00014    37.0219
8.4e-05    0.00014    37.0196
9.8e-05    0.00014    37.0177
0.000112    0.00014    37.016
0.000126    0.00014    37.0146
